CVID,Horas,Uso
21104,6,CST
21105,6,CST
21106,6,CST
21107,6,CST
21108,6,CST
21109,6,CST
21110,6,CST
21111,6,CST
21112,6,CST
21113,6,CST
21114,6,CST
21115,6,CST
21116,6,CST
21117,6,CST
21118,6,CST
21119,6,CST
21120,6,CST
21121,6,CST
21122,6,CST
21123,6,CST
21124,6,CST
21125,6,CST
21126,6,CST
21127,6,CST
21128,6,CST
21129,6,CST
21130,6,CST
21131,6,CST
21132,6,CST
21133,6,CST
21134,6,CST
21135,6,CST
21136,6,CST
21137,6,CST
21138,6,CST
21139,6,CST
21140,6,CST
21141,6,CST
21142,6,CST
21143,6,CST
21144,6,CST
21145,6,CST
21146,6,CST
21147,6,CST
21148,6,CST
21149,6,CST
21150,6,CST
21151,6,CST
21152,6,CST
21153,6,CST
