GRIDCODE,CVENTMUN,Suma de Fter
9768,20273,0.088720215
9768,20292,0.295013293
9769,20023,1
9769,20342,0.99765914
9770,20342,0.00234086
9771,20343,0.827184233
9771,20349,0.295793594
9771,20380,0.438767343
9772,20197,0.399280322
9772,20343,0.172815767
9772,20380,0.561232657
9772,20546,0.029268289
9772,20550,1
9773,20356,0.587577834
9773,20560,0.347885854
9776,20226,0.122509157
9776,20298,0.729583606
9776,20506,0.014869555
9777,20337,0.016149218
9778,20031,0.071743134
9778,20337,0.431920247
9778,20435,0.550188953
9778,20517,1
9779,20200,0.423434186
9779,20435,0.449811048
9780,20200,0.542891101
9780,20275,0.00560165
9780,20323,1
9781,20275,0.412592812
9788,20198,0.530776291
9788,20513,0.625021406
9789,20198,0.469223709
9794,20407,0.252743333
9805,7017,0.010221022
9809,7061,0.081137279
9811,7012,0.386562622
9818,7023,0.375382115
9819,7023,0.444650196
9819,7078,0.151336859
9820,7093,0.067165306
10079,12011,0.108148946
10083,12021,0.240872856
10086,12001,0.239439742
10086,12021,0.036929447
10089,12001,0.050271847
10097,12076,0.009859406
10099,12041,0.149997209
10100,12041,0.093476408
10110,20446,0.228013893
10110,20532,0.704302045
10111,20133,0.404352072
10111,20379,0.324385182
10111,20532,0.062294857
10112,20133,0.139984074
10112,20269,0.429757543
10113,20445,1
10115,20218,1
10115,20430,0.274125855
10120,20135,0.170483116
10120,20426,1
10120,20494,0.411490287
10121,20092,0.617491733
10121,20135,0.775957563
10122,20067,1
10122,20092,0.382508267
10122,20135,0.035479638
10122,20310,1
10122,20399,1
10125,20546,0.533246288
10126,20356,0.412422166
10126,20546,0.351685497
10126,20560,0.487852475
10129,20298,0.270416394
10129,20506,0.985130445
10130,20031,0.035896382
10130,20337,0.165671127
10131,20031,0.750144803
10131,20337,0.386259407
10131,20437,0.058301716
10132,20003,0.724081091
10132,20031,0.130454808
10133,20003,0.275918909
10133,20275,0.361137822
10133,20394,0.613136184
10133,20454,0.176928693
10134,20275,0.220667716
10138,20207,0.090614655
10161,7061,0.034580738
10162,7061,0.261211064
10163,7012,0.393521036
10163,7079,0.409716039
10164,7012,0.169268458
10164,7079,0.590283961
10167,7085,0.012203016
10168,7085,0.370214326
10172,7023,0.179967689
10172,7026,0.148684412
10172,7056,1
10173,7093,0.914831623
10174,7064,0.305385798
10174,7093,0.018003071
10174,7112,1
10178,7059,0.008775163
10179,7059,0.001333518
10188,7059,0.001674578
10189,7059,0.017593844
10190,7059,0.007066579
10426,12057,0.006783984
10427,12057,0.010947154
10430,12057,0.030974077
10432,12011,0.09242471
10436,12021,0.038176729
10438,12021,0.095559288
10439,12021,0.078782937
10442,12029,0.019892714
10443,12029,0.026127821
10453,12041,0.252931611
10455,12078,0.777915695
10456,12043,0.101914485
10456,12078,0.171356691
10459,20469,0.077815143
10463,20397,0.016450683
10463,20532,0.233403097
10464,20379,0.675614818
10464,20397,0.071861935
10465,20110,0.21600183
10465,20269,0.078251566
10465,20397,0.466360408
10466,20086,0.436633313
10466,20110,0.78399817
10467,20119,0.288029006
10467,20492,0.138975104
10468,20430,0.725874145
10468,20492,0.185569204
10469,20006,0.057637879
10469,20046,0.025340847
10474,20102,0.799000184
10474,20531,1
10475,20063,1
10475,20102,0.200999816
10475,20135,0.018079683
10475,20227,1
10475,20539,1
10478,20365,0.403446607
10478,20546,0.016111321
10479,20262,0.757625891
10479,20365,0.277217957
10479,20443,0.225456425
10479,20546,0.069688606
10479,20560,0.086714152
10480,20138,0.083828105
10480,20262,0.014115884
10480,20443,0.299673904
10480,20473,0.395815264
10480,20560,0.07754752
10481,20138,0.486867469
10481,20303,1
10481,20473,0.173216193
