GRIDCODE,LONG,LATITUDE,Huso,Pob
18421,-111.539758,18.818837,6,0
18422,-111.454378,18.824229,6,0
18423,-111.368992,18.829572,6,0
18424,-111.283599,18.834867,6,0
18425,-111.198199,18.840114,6,0
18426,-111.112793,18.845312,6,0
18427,-111.027381,18.850461,6,0
18428,-110.941962,18.855563,6,0
18429,-110.856537,18.860616,6,0
18430,-110.771105,18.86562,6,0
18431,-110.685668,18.870576,6,0
18432,-110.600224,18.875484,6,0
18433,-110.514774,18.880343,6,0
18434,-110.429318,18.885154,6,0
18435,-110.343855,18.889916,6,0
18436,-110.258387,18.89463,6,0
18437,-110.172914,18.899296,6,0
18438,-110.087434,18.903913,6,0
18439,-110.001948,18.908481,6,0
18440,-109.916457,18.913001,6,0
18441,-109.83096,18.917473,6,0
18442,-109.745458,18.921896,6,0
18443,-109.65995,18.92627,6,0
18444,-109.574437,18.930596,6,0
18445,-109.488918,18.934874,6,0
18446,-109.403394,18.939103,6,0
18447,-109.317865,18.943284,6,0
18448,-109.23233,18.947416,6,0
18449,-109.146791,18.951499,6,0
18450,-109.061246,18.955534,6,0
18451,-108.975696,18.959521,6,0
18452,-108.890141,18.963459,6,0
18453,-108.804582,18.967348,6,0
18454,-108.719017,18.971189,6,0
18455,-108.633448,18.974981,6,0
18456,-108.547874,18.978725,6,0
18457,-108.462295,18.98242,6,0
18458,-108.376712,18.986067,6,0
18459,-108.291124,18.989665,6,0
18460,-108.205532,18.993215,6,0
18461,-108.119935,18.996716,6,0
18462,-108.034334,19.000168,6,0
18463,-107.948728,19.003572,6,0
18464,-107.863119,19.006927,6,0
18465,-107.777505,19.010233,6,0
18466,-107.691887,19.013491,6,0
18467,-107.606265,19.016701,6,0
18468,-107.520639,19.019861,6,0
18469,-107.435009,19.022974,6,0
18470,-107.349375,19.026037,6,0
18471,-107.263737,19.029052,6,0
18472,-107.178096,19.032018,6,0
18473,-107.092451,19.034936,6,0
18474,-107.006802,19.037805,6,0
18475,-106.92115,19.040625,6,0
18476,-106.835494,19.043397,6,0
18477,-106.749835,19.04612,6,0
18478,-106.664172,19.048795,6,0
18479,-106.578506,19.05142,6,0
18480,-106.492837,19.053998,6,0
18481,-106.407164,19.056526,6,0
18482,-106.321489,19.059006,6,0
18483,-106.23581,19.061437,6,0
18484,-106.150128,19.06382,6,0
18485,-106.064444,19.066154,6,0
18486,-105.978756,19.068439,6,0
18487,-105.893066,19.070675,6,0
18488,-105.807373,19.072863,6,0
18489,-105.721677,19.075002,6,0
18490,-105.635978,19.077093,6,0
18491,-105.550277,19.079135,6,0
18492,-105.464573,19.081128,6,0
18493,-105.378867,19.083072,6,0
18494,-105.293158,19.084968,6,0
18495,-105.207447,19.086815,6,0
18496,-105.121734,19.088613,6,0
18497,-105.036019,19.090363,6,0
18498,-104.950301,19.092064,6,0
18499,-104.864581,19.093716,6,0
18500,-104.778859,19.09532,6,0
18501,-104.693136,19.096875,6,0
18502,-104.60741,19.098381,6,0
18503,-104.521682,19.099838,6,2
18504,-104.435953,19.101247,6,4011
18505,-104.350222,19.102607,6,67231
18506,-104.264489,19.103918,6,30071
18507,-104.178755,19.105181,6,63
18508,-104.093019,19.106394,6,6
18509,-104.007281,19.10756,6,122
18510,-103.921542,19.108676,6,11
18511,-103.835802,19.109744,6,4419
18512,-103.75006,19.110763,6,1948
18513,-103.664318,19.111733,6,1693
18514,-103.578574,19.112654,6,314
18515,-103.492828,19.113527,6,237
18516,-103.407082,19.114351,6,517
18517,-103.321335,19.115127,6,174
18518,-103.235587,19.115853,6,228
18519,-103.149838,19.116531,6,184
18520,-103.064088,19.11716,6,386
18521,-102.978337,19.117741,6,49
18522,-102.892586,19.118272,6,891
18523,-102.806834,19.118755,6,1458
18524,-102.721081,19.119189,6,4449
18525,-102.635328,19.119575,6,2834
18526,-102.549575,19.119911,6,8864
18527,-102.463821,19.120199,6,5043
18528,-102.378066,19.120439,6,78755
18529,-102.292312,19.120629,6,3053
18530,-102.206557,19.120771,6,4171
18531,-102.120802,19.120864,6,865
18532,-102.035047,19.120908,6,11118
18533,-101.949292,19.120904,6,1653
18534,-101.863537,19.120851,6,457
18535,-101.777783,19.120749,6,559
18536,-101.692028,19.120598,6,2237
18537,-101.606273,19.120399,6,2544
18538,-101.520519,19.12015,6,10560
18539,-101.434765,19.119854,6,7172
18540,-101.349012,19.119508,6,924
18541,-101.263259,19.119114,6,839
18542,-101.177506,19.118671,6,645
18543,-101.091755,19.118179,6,240
18544,-101.006003,19.117638,6,977
18545,-100.920253,19.117049,6,764
18546,-100.834503,19.116411,6,508
18547,-100.748754,19.115724,6,600
18548,-100.663006,19.114989,6,2081
18549,-100.577259,19.114204,6,533
