GRIDCODE,CVENTMUN,Fpv,LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),LONG_CARR_x_CELDA x CARRILES
6297,7099,0.056448678,236384.2773,13343.57991
6297,7099,0.001484282,236384.2773,350.8608471
6571,12023,0.073166108,102065.9766,7467.770247
6575,20482,0.041694633,123287.9407,5140.445434
6575,20168,0.00624768,19110.02611,119.3933218
6575,20482,0.049771265,123287.9407,6136.19673
6575,20168,0.065668629,19110.02611,1254.929222
6577,20482,0.023043011,123287.9407,2840.925344
6577,20482,0.008003812,123287.9407,986.7734418
6577,20482,0.074102251,123287.9407,9135.913979
6578,20482,0.130456146,123287.9407,16083.66955
6578,20090,0.198652095,28506.77353,5662.930284
6578,20482,0.098105846,123287.9407,12095.26777
6579,20090,0.239070305,28506.77353,6815.123054
6579,20090,0.035410502,28506.77353,1009.439166
6579,20090,0.027431684,28506.77353,781.98879
6579,20090,0.340163918,28506.77353,9696.975772
6580,20467,0.222716283,48424.24084,10784.86694
6580,20367,0.298258065,1902.250875,567.3616646
6580,20090,0.10573717,28506.77353,3014.225553
6580,20367,0.701741935,1902.250875,1334.88921
6580,20467,0.174011399,48424.24084,8426.369896
6587,20364,0.524460195,15598.51905,8180.802336
6587,20202,0.127367187,3957.24707,504.0234287
6588,20364,0.061127474,15598.51905,953.4980599
6588,20202,0.800149183,3957.24707,3166.38801
6588,20314,0.45755095,14583.53134,6672.708615
6588,20364,0.092463773,15598.51905,1442.297925
6589,20314,0.018096592,14583.53134,263.9122118
6595,20059,0.013007567,60015.97562,780.6618461
6595,20095,0.152438876,25877.69967,3944.767444
6595,20533,0.825762798,15811.58716,13056.62046
6595,20059,0.060019277,60015.97562,3602.115486
6595,20059,0.002504415,60015.97562,150.3049199
6595,20533,0.174237202,15811.58716,2754.9667
6596,20095,0.177998114,25877.69967,4606.181732
6596,20059,0.052558639,60015.97562,3154.357984
6596,20095,0.150727139,25877.69967,3900.471624
6611,20079,0.364549273,56207.07171,20490.24712
6611,20079,0.040306716,56207.07171,2265.522461
6611,20079,0.078938031,56207.07171,4436.875581
6611,20079,0.07431492,56207.07171,4177.024025
6611,20079,0.012408624,56207.07171,697.4524379
6611,20079,0.031778945,56207.07171,1786.201449
6611,20079,0.095198641,56207.07171,5350.83684
6612,20079,0.103195155,56207.07171,5800.297468
6612,20079,0.094969001,56207.07171,5337.929449
6612,20308,0.563414247,4802.438729,2705.762398
6625,7009,0.024285541,103484.1026,2513.167366
6628,7097,0.008304195,359396.2642,2984.496517
6628,7097,0.104421411,359396.2642,37528.66511
6629,7097,0.005700697,359396.2642,2048.809164
6629,7097,0.008648292,359396.2642,3108.16389
6629,7097,4.98E-06,359396.2642,1.788000001
6629,7097,0.001824185,359396.2642,655.6051771
6634,7107,0.041605963,201698.9614,8391.87943
6637,7107,0.005354857,201698.9614,1080.069095
6638,7107,0.009742412,201698.9614,1965.034479
6638,7107,0.069573502,201698.9614,14032.90316
6638,7107,0.014943173,201698.9614,3014.022504
6638,7107,0.019578595,201698.9614,3948.982254
6639,7020,0.157703663,125881.4318,19851.96285
6639,7107,0.000838013,201698.9614,169.0262837
6640,7020,0.013385924,125881.4318,1685.039324
6640,7020,0.020713174,125881.4318,2607.403976
6640,7020,0.104259521,125881.4318,13124.33783
6640,7020,0.037242071,125881.4318,4688.08525
6649,7099,0.011063251,236384.2773,2615.178709
6649,7099,0.001963941,236384.2773,464.2447739
6649,7099,0.019868468,236384.2773,4696.593363
6649,7099,0.06039257,236384.2773,14275.85392
6650,7099,0.012669438,236384.2773,2994.855954
6924,12023,0.024121158,102065.9766,2461.949507
6925,12023,0.160946153,102065.9766,16427.12628
6925,12023,0.074763334,102065.9766,7630.792712
6926,12023,0.013627923,102065.9766,1390.947238
6926,20485,0.596891659,1848.871312,1103.575864
6926,12023,0.137491803,102065.9766,14033.2351
6926,20485,0.403108341,1848.871312,745.2954483
6927,20402,0.169358207,26897.85159,4555.371917
6927,20402,0.061946107,26897.85159,1666.21718
6927,20402,0.120597708,26897.85159,3243.819262
6928,20402,0.12839113,26897.85159,3453.44555
6928,20168,0.733558149,19110.02611,14018.31538
6928,20482,0.009991041,123287.9407,1231.774917
6928,20168,0.143489726,19110.02611,2742.092405
6928,20168,0.051035816,19110.02611,975.2957809
6929,20482,0.191665069,123287.9407,23629.99162
6930,20482,0.007019128,123287.9407,865.3737763
6930,20482,0.059524975,123287.9407,7338.711647
6930,20482,0.087886133,123287.9407,10835.30031
6930,20482,0.029931409,123287.9407,3690.181815
6930,20482,0.004485269,123287.9407,552.9795236
6930,20482,0.017701926,123287.9407,2182.433943
6930,20285,0.212680941,37629.94613,8003.172369
