CVENTMUN,SCC,PM10,PM2.5,NOx,SO2,CO,VOC,NH3,CN,CO2,CH4
13021,2201020330,0.541763488,0.343113588,6.467281978,1.004052556,20.33668001,1.607106444,0.19046574,0.10149265,921.2516044,0.055891522
13021,2201040330,0.077722494,0.052205553,0.768533749,0.171588692,3.69090821,0.269273615,0.02387603,0.015442352,167.1981419,0.009364726
13021,2201070330,0.002493033,0.002215056,0.013809495,0.001291323,0.210990298,0.008059955,4.16923E-05,0.00065521,9.557860515,0.000280307
13021,2230072330,0.027972791,0.026667342,0.563776637,0.070750691,0.03261677,0.023134117,0.001053345,0.012562647,1.477539671,0.000804552
13021,2230073330,0.291344738,0.349530621,1.713463297,0.130497701,0.611686467,0.083710942,0.001491119,0.164659375,27.70939697,0.002911277
13021,2230074330,0.183929598,0.190862451,3.143704626,0.252797137,0.820852932,0.089920867,0.002292478,0.089912843,37.18463784,0.003127244
13021,2230075330,0.068161233,0.083476781,0.2468864,0.021450666,0.115894039,0.013861766,0.000123373,0.039324839,5.249999983,0.000482081
13022,2201001330,0.685588783,0.414781416,6.988555085,1.037005555,20.15005989,1.64047149,0.2657248,0.122691877,912.797713,0.057051883
13022,2201020330,0.590741146,0.376125433,7.181256573,1.08720894,23.44476414,1.862886685,0.20544715,0.111257491,1062.047816,0.06478698
13022,2201040330,0.091685263,0.061541428,0.90506244,0.202634342,4.33613407,0.316665834,0.028209921,0.01820389,196.4268734,0.011012921
13022,2201070330,0.002493033,0.002215056,0.013809495,0.001291323,0.210990298,0.008059955,4.16923E-05,0.00065521,9.557860515,0.000280307
13022,2201080330,0.016049102,0.011969016,0.044419682,0.007779818,0.463797089,0.057290892,0.000460378,0.003540425,21.01000813,0.001992447
13022,2230072330,0.031744492,0.030193142,0.643945335,0.080868231,0.036977537,0.02639149,0.001203976,0.014223604,1.675082425,0.000917836
13022,2230073330,0.358747423,0.429672589,2.196820643,0.169484436,0.75853667,0.105413936,0.001931294,0.202413222,34.36171115,0.003666058
13022,2230074330,0.218113376,0.225580973,3.853175389,0.305907343,0.986591697,0.107164987,0.002765429,0.106268293,44.69260389,0.003726956
13022,2230075330,0.068161233,0.083476781,0.2468864,0.021450666,0.115894039,0.013861766,0.000123373,0.039324839,5.249999983,0.000482081
13023,2201001330,1.334645918,0.807481913,13.65884108,2.018634169,39.31460272,3.199652669,0.517266013,0.23885225,1780.951503,0.111276673
13023,2201020330,1.140513463,0.726017166,13.86419899,2.100458958,45.19769205,3.59070378,0.396812799,0.214755085,2047.45545,0.124876545
13023,2201040330,0.175777522,0.118127006,1.731854632,0.387874515,8.356860417,0.609783304,0.053931085,0.03494185,378.5657769,0.021206882
13023,2201070330,0.006083257,0.00538279,0.041984562,0.004321882,0.465164911,0.018585359,0.000146108,0.001592221,21.07197045,0.000646357
13023,2201080330,0.020526829,0.01530839,0.056812848,0.0099504,0.639886294,0.094761108,0.000588825,0.004528208,28.98684911,0.003295577
13023,2230072330,0.063193738,0.059995632,1.295698292,0.162261722,0.073645186,0.053013461,0.002410995,0.02826317,3.336126936,0.001843688
13023,2230073330,0.708937476,0.848044909,4.416157828,0.346631778,1.502109396,0.209961579,0.003955494,0.399503035,68.04555563,0.007301988
13023,2230074330,0.526642985,0.540154569,9.479072051,0.763949675,2.409016652,0.260076937,0.006957528,0.25445986,109.1284544,0.009044887
13023,2230075330,0.207890618,0.251843949,1.193628293,0.122029453,0.499827996,0.051754946,0.000740799,0.118640436,22.64220822,0.00179992
13024,2201001330,0.638633146,0.386370187,6.532864441,0.965941471,18.76683363,1.526476345,0.247525299,0.11428787,850.1375636,0.05308739
13024,2201020330,0.885793822,0.566947556,10.95951288,1.619897666,37.1042028,2.960930617,0.304703219,0.167702451,1680.820387,0.102974461
13024,2201040330,0.145954024,0.09817093,1.428916862,0.321821199,6.952088474,0.506327573,0.044685557,0.02903886,314.9296079,0.017608926
13024,2201070330,0.003590224,0.003167737,0.028175067,0.003030558,0.254174612,0.010525403,0.000104416,0.000937012,11.51410993,0.00036605
13024,2201080330,0.016049102,0.011969016,0.044419682,0.007779818,0.463797089,0.057290892,0.000460378,0.003540425,21.01000813,0.001992447
13024,2230072330,0.059487175,0.056530726,1.217057658,0.152318914,0.069456053,0.049828575,0.002262965,0.026630896,3.146359216,0.001732925
13024,2230073330,0.584785118,0.699018492,3.710669255,0.292094083,1.248860613,0.175329278,0.003330605,0.329298608,56.57338576,0.006097555
13024,2230074330,0.428125323,0.437107515,7.840098641,0.635087335,1.98154232,0.213624712,0.005780249,0.205915723,89.76386711,0.007429384
13024,2230075330,0.143770217,0.173682921,0.918340562,0.094451491,0.383714147,0.038637017,0.00057615,0.081819786,17.38225085,0.001343708
13025,2201001330,0.114605969,0.069247954,1.035637052,0.173347504,3.046584576,0.281617852,0.044479141,0.020483477,138.0102813,0.009794031
13025,2201020330,0.158734012,0.101751173,1.528271502,0.289518897,5.938069182,0.575496501,0.054421025,0.030097889,268.9945339,0.020014465
13025,2201040330,0.027031788,0.0182424,0.206363102,0.059262239,1.156684645,0.098946213,0.008205721,0.00539608,52.3978144,0.003441125
13025,2230073330,0.094348781,0.113223692,0.533385679,0.041814309,0.079886974,0.013140969,0.00047859,0.053338223,3.618879902,0.000457013
13025,2230074330,0.03626285,0.041109465,0.467936595,0.028644076,0.060252054,0.008000471,0.000235929,0.019366142,2.729418049,0.000278238
13025,2230075330,0.405015876,0.484140257,3.439395267,0.372121104,0.573267262,0.062622387,0.002304456,0.22807224,25.96900695,0.002177865
13026,2201001330,0.025589765,0.015487464,0.221816718,0.038703319,0.737456134,0.07142962,0.009913908,0.004581174,33.40676287,0.00248416
13026,2201020330,0.051858668,0.033315317,0.49663961,0.094189585,1.963972116,0.189320215,0.017691197,0.009854641,88.96793684,0.006584128
13026,2201040330,0.009321067,0.006159421,0.072405364,0.02112245,0.344436617,0.029813314,0.002987642,0.001821953,15.60297873,0.00103684
13026,2230073330,0.024948042,0.030141698,0.120893228,0.008528036,0.021285037,0.003320026,9.98399E-05,0.014199365,0.964212194,0.000115463
13026,2230074330,0.008816816,0.010227719,0.086386231,0.005607176,0.018331325,0.00242513,4.29743E-05,0.004818146,0.830409022,8.43405E-05
13026,2230075330,0.016179528,0.019815,0.057454992,0.005091775,0.010761349,0.001611742,2.92852E-05,0.009334593,0.487489087,5.60527E-05
13027,2201001330,0.084400268,0.050947991,0.78860987,0.127652206,2.16008136,0.191515085,0.032789777,0.015070357,97.8516856,0.006660461
13027,2201020330,0.115982218,0.074329487,1.134167336,0.2113586,4.360472019,0.423720293,0.039794623,0.021986578,197.5293824,0.014736032
13027,2201040330,0.018638814,0.012516401,0.142581665,0.041187291,0.771899223,0.067279214,0.00572832,0.003702335,34.9670348,0.002339819
13027,2230073330,0.071761755,0.086115435,0.406857457,0.031824942,0.061195409,0.010051512,0.000364423,0.040567874,2.772152043,0.000349569
13027,2230074330,0.022518609,0.025814467,0.242045732,0.015640025,0.034257573,0.00465934,0.000128708,0.012160865,1.551868062,0.000162041
13027,2230075330,0.545084154,0.650845409,4.753435546,0.516388275,0.798878998,0.086299822,0.003197098,0.30660489,36.1892186,0.003001312
13028,2201001330,2.196394346,1.328471797,19.18151478,3.321959116,60.576867,5.807420256,0.851504239,0.392960484,2744.132075,0.201968924
13028,2201020330,2.165175382,1.380762521,20.66725093,3.978048875,77.35652236,7.473285943,0.750537916,0.408428034,3504.250463,0.259903959
13028,2201040330,0.342318466,0.22999478,2.627880302,0.755805986,14.22154578,1.227836642,0.105096232,0.068032194,644.2360237,0.042701378
13028,2201070330,0.009673479,0.008550524,0.088860821,0.00735244,0.359580838,0.022179008,0.000250523,0.002529237,16.28901197,0.000771336
13028,2201080330,0.051263272,0.03823084,0.152766453,0.024849907,1.072601576,0.186533603,0.001470519,0.011308638,48.5888514,0.006487216
13028,2230072330,0.13556036,0.128722989,2.726841969,0.348181268,0.064815919,0.05531089,0.005169693,0.060639747,2.936161113,0.001923587
13028,2230073330,1.382477908,1.653526043,8.502701374,0.679035129,1.191404718,0.200781492,0.007742994,0.778954814,53.97063373,0.006982726
13028,2230074330,1.019736454,1.044949952,17.97829669,1.487069117,1.896683226,0.246578918,0.013530876,0.492262469,85.91975015,0.008575456
13028,2230075330,2.362044193,2.798432071,24.43517346,2.689311738,4.087920404,0.419023879,0.016754753,1.318305315,185.1827943,0.014572701
13029,2201001330,1.956959439,1.183895208,20.07331176,2.959903874,57.42476633,4.663796615,0.758519607,0.350194885,2601.341915,0.162196284
13029,2201020330,2.220176749,1.417974752,27.32739884,4.071190101,91.14184838,7.258397308,0.767176631,0.419435359,4128.725732,0.252430619
13029,2201040330,0.360005641,0.242058972,3.539178305,0.793865489,17.16713917,1.251759628,0.110306653,0.071600777,777.6714043,0.043533365
13029,2201070330,0.009673479,0.008550524,0.070159629,0.00735244,0.719339523,0.029110762,0.000250523,0.002529237,32.58608038,0.001012406
13029,2201080330,0.108080912,0.080603983,0.299139456,0.052392303,3.310527905,0.466465844,0.003100367,0.02384257,149.9669141,0.016222626
13029,2230072330,0.141846813,0.134685477,2.913332034,0.364334304,0.166002368,0.119243659,0.005410181,0.063448597,7.519907279,0.004147024
13029,2230073330,1.459268372,1.745869856,9.092041508,0.711026568,3.087463672,0.431174243,0.008107202,0.822456798,139.8621043,0.014995264
13029,2230074330,1.093040271,1.119645307,19.73273201,1.595404307,4.981017989,0.539467533,0.014529521,0.527450488,225.6401149,0.018761459
13029,2230075330,0.808405573,0.954794135,9.021575155,0.981398005,3.647804021,0.307349215,0.006126203,0.449791221,165.2455221,0.01068891
13030,2201001330,3.552406375,2.14900653,36.49656744,5.372973583,104.0280206,8.43929516,1.376972583,0.63567374,4712.469334,0.293499572
13030,2201020330,3.916995534,2.501420934,48.17086246,7.183210271,160.5325423,12.78104262,1.353791295,0.73991753,7272.124167,0.444495715
13030,2201040330,0.633296062,0.425626108,6.230094386,1.397553017,30.09868865,2.195546451,0.194269943,0.125899726,1363.470596,0.076356133
13030,2201070330,0.018249767,0.016148369,0.125953686,0.012965646,1.395494732,0.055756077,0.000438324,0.004776668,63.21591137,0.00193907
13030,2201080330,0.080105945,0.059740972,0.221712127,0.038831417,2.461309909,0.347149286,0.002297888,0.017671304,111.4973389,0.012073066
13030,2230072330,0.268456189,0.254894902,5.544635085,0.691064464,0.31579217,0.226897284,0.010243018,0.120077705,14.3053853,0.007890974
13030,2230073330,2.551022754,3.051704441,15.90200047,1.24516012,5.413410648,0.755714916,0.014216893,1.437618661,245.2275023,0.026282053
13030,2230074330,1.892085481,1.942828001,33.83827048,2.733116274,8.660340729,0.935453285,0.024860218,0.915241245,392.313435,0.032532947
13030,2230075330,1.914078563,2.271237399,19.58213838,2.106340567,7.914847575,0.680610469,0.013109601,1.069950695,358.5425951,0.023670091
13031,2201001330,0.306064696,0.185155983,2.628452237,0.462977212,8.504362232,0.821968756,0.118637817,0.054768931,385.2476091,0.028586212
13031,2201020330,0.499948223,0.320553276,4.823729266,0.912244754,18.7207574,1.81795129,0.171331327,0.094819312,848.05031,0.063224229
13031,2201040330,0.085520368,0.057451074,0.657074632,0.18879491,3.561675205,0.30744993,0.026261021,0.016993965,161.3438868,0.010692412
13031,2201070330,0.002493033,0.002215056,0.018331977,0.001291323,0.110930153,0.006131249,4.16923E-05,0.00065521,5.025135929,0.000213231
13031,2230072330,0.031744492,0.030193142,0.630427807,0.080868231,0.015113063,0.012793912,0.001203976,0.014223604,0.684621734,0.000444943
