kg,PM10,PM2.5,NOx,SO2,CO,VOC, NH3,CN, CO2,CH4
10033,0.004784517,0.004798125,0.004381833,0.004556622,0.005373069,0.005468182,0.004775814,0.004755787,0.005373069,0.005468182
10034,0.01631239,0.016408725,0.013376859,0.015301465,0.010753357,0.013369878,0.015270546,0.01625266,0.010753357,0.013369878
10035,0.008752275,0.008693322,0.008120482,0.009211728,0.011058754,0.011375517,0.009744029,0.008577417,0.011058754,0.011375517
10036,0.004612843,0.004360342,0.004615977,0.00542903,0.006321391,0.007260234,0.006502665,0.004113882,0.006321391,0.007260234
10037,0.002259346,0.002368374,0.001766227,0.002085552,0.00150724,0.001672984,0.001791531,0.002480955,0.00150724,0.001672984
10038,0.011188196,0.011304754,0.010819862,0.010933282,0.01154449,0.011780109,0.01097577,0.011399448,0.01154449,0.011780109
10039,0.013466731,0.012690222,0.014585495,0.016146013,0.019853642,0.020493101,0.019163403,0.011778525,0.019853642,0.020493101
11001,0.016903223,0.01734655,0.019098175,0.016325029,0.014377104,0.026959686,0.012506659,0.017672943,0.014377104,0.026959686
11002,0.012005001,0.01139181,0.011164179,0.015598878,0.012349399,0.024366886,0.018478787,0.010776379,0.012349399,0.024366886
11003,0.014368404,0.01355152,0.013545867,0.018793947,0.012053833,0.023960712,0.022771898,0.012792295,0.012053833,0.023960712
11004,0.010550091,0.010257232,0.011328574,0.013003068,0.012642748,0.023677908,0.01265351,0.00982706,0.012642748,0.023677908
11005,0.00598499,0.005714575,0.005470919,0.007932674,0.004401796,0.00930649,0.009173796,0.005450718,0.004401796,0.00930649
11006,0.000146366,0.000137958,0.000128016,0.000210864,6.52E-05,0.000155985,0.000260888,0.000129442,6.52E-05,0.000155985
11007,0.227827625,0.236746827,0.228200105,0.181022605,0.203078961,0.122194155,0.135690457,0.245138216,0.203078961,0.122194155
11008,0.003859714,0.003502112,0.003945327,0.006178011,0.005397746,0.010830489,0.007745913,0.003141814,0.005397746,0.010830489
11009,0.004048645,0.003734424,0.003912883,0.006004848,0.004202704,0.008552628,0.007496471,0.003425932,0.004202704,0.008552628
11010,0.008787199,0.009248471,0.008688248,0.007098071,0.00399161,0.007125879,0.003349615,0.009595365,0.00399161,0.007125879
11011,0.011427094,0.011316748,0.010784067,0.012325171,0.008209572,0.015844629,0.012025052,0.011194226,0.008209572,0.015844629
11012,0.003044628,0.002944949,0.003101085,0.003938434,0.00272912,0.005714427,0.004409818,0.002852287,0.00272912,0.005714427
11013,0.002206556,0.002106497,0.002295944,0.002905917,0.002257068,0.00446032,0.003316906,0.001996169,0.002257068,0.00446032
11014,0.012888461,0.012112057,0.012314418,0.018172846,0.012085987,0.024890898,0.021534364,0.011367247,0.012085987,0.024890898
11015,0.017853252,0.016747887,0.015333957,0.022721044,0.011311642,0.022615171,0.029315841,0.015810725,0.011311642,0.022615171
11016,0.002997009,0.002977331,0.003076239,0.003455871,0.002451443,0.005000549,0.003384169,0.002949338,0.002451443,0.005000549
11017,0.226071447,0.23473377,0.221353839,0.179062911,0.204221341,0.122274265,0.132987029,0.242836498,0.204221341,0.122274265
