Estado,SCC,PM10,PM25,NO2,NO,SO2 ,CO ,VOC,NH3 ,CN,CO2,CH4,GSO4,OTHER,POA
14,2230060000,188,176,252,1585,78,4564,455,2,57,287914,53,94,0,12
14,2201070000,16226,14351,26090,333913,12223,3792733,197732,1997,1957,76314452,7473,1328,984,7819
14,2230070000,110993,102113,193985,1284253,31993,477901,75289,1718,48052,117076934,12027,43222,1223,7880
14,2201040000,6004,5310,47767,458615,17678,4297744,245301,4220,725,110370682,9926,489,1208,2896
14,2230060000,237416,218420,324167,1380997,51384,631629,154408,4241,31549,190528398,52084,168842,2727,13131
14,2201070000,407,360,2650,25306,983,212789,12640,250,50,6129335,417,31,73,196
14,2230060000,14554,13389,17843,77177,2848,35654,8914,250,1860,10552639,2946,10321,176,883
14,2230070000,178618,164329,391471,1654020,61768,520458,85191,3215,48639,229758532,33536,106762,2668,6508
14,2230070000,430489,396047,889025,4471716,150459,1329393,200909,7597,147754,556232211,65625,222087,6745,19076
15,2201080000,58460,51715,84618,1787491,62218,40198573,3726784,100658,7341,805830956,76379,2889,4106,29318
15,2201001000,252307,223199,3346162,28396008,357399,155649237,18079887,333544,31649,4628997568,322513,12695,44501,126398
15,2230001000,187,172,1573,14415,350,102745,6637,56,16,2984047,495,60,23,64
15,2201070000,241941,214026,4202586,32865742,362785,161233365,16021460,282012,30350,4698758942,419872,12180,36142,121203
15,2230060000,13810,12703,30743,181425,3713,591530,54111,968,5850,31592252,6234,5280,185,1145
15,2201020000,8295,7336,142358,1137724,12481,5788410,573346,9916,1038,161647881,16338,416,1275,4154
15,2230060000,473,440,975,6193,124,17708,1653,32,221,1062051,199,152,0,39
15,2201070000,52192,46170,88492,1145557,21757,11501592,670556,7259,6546,281776285,23920,2653,3560,26128
15,2230070000,308847,284137,726953,4812651,50819,1737895,272685,6244,174745,432562402,43452,69984,4446,28644
15,2201040000,19655,17386,161135,1548068,31565,13092129,848520,15343,2464,408837962,32067,990,4390,9846
15,2230060000,492511,453108,1214614,5174451,81908,2296923,556704,15427,114730,706338206,188296,272802,9921,47751
15,2201070000,1328,1179,8953,85839,1757,642963,43505,915,167,22718823,1339,68,278,669
15,2230060000,30252,27833,66862,289196,4540,129664,32270,919,6751,39142000,10687,16678,639,3203
15,2230070000,414982,381782,1467007,6198308,98200,1892633,308890,11695,176873,849519582,121680,172442,9705,23664
15,2230070000,1077723,991500,3331544,16757370,239130,4834333,730528,27634,537307,2056005561,238402,358895,24533,69379
16,2201080000,32686,28915,55932,1189692,71156,28196382,2259463,53684,3947,429826537,49451,2660,2188,15763
16,2201001000,143233,126707,2181046,18385944,407545,94992305,11427628,177892,17262,2461821957,251741,11879,23734,68952
16,2230001000,153,136,827,7600,453,37794,3548,30,5,1585707,261,76,8,34
16,2201070000,137454,121591,2491250,19540674,413686,99400334,10515987,150412,16565,2498928366,318760,11402,19274,66169
16,2230060000,11434,10522,16092,94999,4756,232499,28853,517,3119,16788099,3328,6560,101,609
16,2201020000,4714,4168,84402,676767,14232,3296569,371487,5288,571,85977682,12073,391,682,2269
16,2230060000,374,342,512,3243,155,7010,877,17,122,564397,104,187,0,22
16,2201070000,29768,26336,52580,671692,24781,6100882,395184,3877,3583,149699763,14519,2493,1895,14316
16,2230070000,218535,201051,384730,2547027,65090,857434,145620,3330,93197,229762851,23222,86834,2373,15277
16,2201040000,11146,9866,96257,920972,35929,5759902,487791,8181,1344,217029729,19152,926,2337,5364
16,2230060000,473229,435371,642837,2738597,104815,1093083,297696,8227,61192,374864803,100605,339203,5293,25465
16,2201070000,756,669,5347,50907,1999,321491,25241,490,91,12057900,806,65,146,360
16,2230060000,29004,26681,35387,153051,5813,64268,17234,491,3604,20770230,5706,20734,342,1710
16,2230070000,354505,326140,776397,3280377,125742,955957,164904,6235,94339,451146729,64944,214493,5174,12621
16,2230070000,851720,783576,1763175,8868640,306224,2514474,389667,14740,286569,1091946485,127189,446180,13088,37005
17,2201080000,9811,8683,15598,331837,21602,8584106,693771,16301,1190,130502878,15004,799,666,4733
17,2201001000,57373,50753,624744,5328769,124664,32199284,3218800,54021,11085,753055733,60935,3689,7206,25968
17,2230001000,62,55,245,2252,139,16971,1075,7,3,485686,77,26,0,15
17,2201070000,53933,47714,707326,5543855,126521,31667217,2843451,45677,10219,764280653,75803,3521,5855,24494
17,2230060000,3729,3435,4750,28102,1456,97690,8774,158,1029,5141261,1009,2103,31,223
17,2201020000,1896,1677,23991,192565,4354,1132101,100939,1607,369,26291412,2948,124,204,859
17,2230060000,119,113,154,957,49,2925,266,0,38,172832,31,61,0,4
17,2201070000,8858,7836,14689,188191,7592,2248207,121840,1175,1127,45861105,4386,730,575,4235
17,2230070000,94381,86830,110219,729678,19951,281465,44119,1011,31430,70415455,7026,43029,722,8988
17,2201040000,3956,3503,26918,259552,11025,2534928,149946,2487,665,66609758,5756,279,710,1834
17,2230060000,228967,210648,184212,784767,32185,372001,89956,2500,23087,115107771,30447,167254,1605,14780
17,2201070000,245,216,1491,14282,614,125646,7772,149,35,3702184,242,13,39,112
17,2230060000,14032,12910,10139,43856,1785,21000,5219,149,1342,6379798,1729,10202,104,994
17,2230070000,165278,152056,222423,939770,38552,306523,49987,1894,36702,138322159,19691,105403,1572,7248
17,2230070000,385701,354842,505118,2540727,93871,782952,118316,4477,106114,334733951,38602,219262,3976,21437
18,2201080000,6580,5825,10183,216564,14717,5835058,488899,11103,797,88912033,10222,537,454,3175
18,2201001000,27026,23907,431322,3674915,86752,23404282,2460389,36811,3256,524041560,52520,2240,4912,13011
18,2230001000,32,31,171,1564,96,9301,732,0,0,338757,53,15,0,1
18,2201070000,25845,22859,490379,3880613,87992,24326841,2274955,31120,3116,531534118,66365,2143,3995,12437
18,2230060000,2366,2177,3363,19890,1016,56555,6040,104,646,3583949,696,1354,16,126
18,2201020000,884,785,16630,134597,3025,806729,80414,1093,107,18279853,2512,73,138,425
18,2230060000,77,71,109,679,33,1710,184,0,25,120467,22,39,0,0
18,2201070000,5499,4865,9598,123137,5299,1262538,86433,801,666,31992849,2969,458,395,2643
18,2230070000,45222,41606,72972,483109,13923,177441,29972,689,19285,49157738,4759,17970,493,3160
18,2201040000,2111,1867,17596,170319,7731,1191972,105874,1695,252,46692717,3867,173,481,1016
18,2230060000,97929,90097,121985,519680,22576,226205,60857,1703,12664,80760531,20640,70199,1096,5270
18,2201070000,143,126,974,9349,433,66530,5522,99,13,2597218,163,7,25,70
18,2230060000,6003,5523,6711,29035,1254,13296,3544,99,746,4479226,1174,4290,68,354
18,2230070000,73361,67494,147262,622210,26942,197831,33996,1291,19522,96663302,13390,44388,1071,2612
18,2230070000,176255,162156,334434,1682162,65567,520353,80686,3052,59304,233811524,26278,92336,2710,7655
19,2201080000,38176,33771,53919,1132116,19538,23902863,2565642,67130,4884,537355928,44236,1285,2743,19507
19,2201001000,163070,144254,2161745,18163049,112790,120281541,13687361,222446,20850,3101982612,240653,5593,29678,83262
19,2230001000,85,80,1101,10074,16,70287,4428,37,10,2001952,323,6,13,45
19,2201070000,156240,138212,2883781,22290057,114479,135206472,12684673,188081,19975,3148410766,329878,5357,24103,79775
19,2230060000,5859,5392,21918,129078,180,404562,36186,647,3903,21193491,4170,439,127,767
19,2201020000,5354,4736,97628,770122,3937,4723602,448105,6615,687,108296017,12536,182,852,2735
19,2230060000,220,204,692,4409,0,12117,1102,19,148,712423,131,11,0,29
19,2201070000,33598,29719,60149,788501,6874,7218171,471464,4843,4291,189083156,14968,1164,2376,17145
19,2230070000,161742,148804,510655,3380668,2469,1159039,181563,4164,116541,290365948,28903,5979,2968,19103
19,2201040000,12705,11237,108665,1044633,9987,8175893,586375,10230,1625,274681577,19863,437,2931,6486
19,2230060000,155390,142960,853086,3634318,3984,1531864,369974,10288,76517,474748450,125274,22709,6625,31849
19,2201070000,861,761,6045,58265,559,401176,30614,610,108,15269153,832,27,182,438
19,2230060000,9598,8827,46968,203150,221,86476,21472,614,4502,26314889,7115,1393,432,2139
19,2230070000,167294,153905,1030496,4353911,4769,1262237,205687,7798,117965,570441566,81055,14293,6475,15784
19,2230070000,491129,451836,2340228,11770833,11612,3224115,487112,18429,358340,1380431387,158912,29936,16363,46267
